,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,versions,update_date,authors_parsed,publisher,published-print,published-online,reference-count,type,bibtex,subject,publication_type,field_of_study,refined_authors,refined_publication_title,resolved_venue,refined_venue,authors_with_gender,publication_year,journal_name,volume,issue,pages
2544,704.3979,Javier Trujillo Bueno,"Luca Belluzzi, Javier Trujillo Bueno and Egidio Landi Degl'Innocenti","The Magnetic Sensitivity of the Ba II D1 and D2 Lines of the Fraunhofer
  Spectrum","40 pages, 1 table and 19 figures. Accepted for publication in The
  Astrophysical Journal (ApJ)","Astrophys.J.666:588-608,2007",10.1086/519078,,astro-ph,,"[{'version': 'v1', 'created': 'Mon, 30 Apr 2007 19:09:26 GMT'}]",2009-06-23,"[['Belluzzi', 'Luca', ''], ['Bueno', 'Javier Trujillo', ''], [""Degl'Innocenti"", 'Egidio Landi', '']]",,,,,,,,,Astronomy and Astrophysics,"Luca Belluzzi, Javier Trujillo Bueno, Egidio Landi Degl’Innocenti",The Magnetic Sensitivity of the Ba<scp>ii</scp>D1 and D2 Lines of the Fraunhofer Spectrum,Unknown,Unknown,"Luca Belluzzi (unknown), Javier Trujillo Bueno (unknown), Egidio Landi Degl’Innocenti (unknown)",2007,The Astrophysical Journal,666,1,588-608
6360,706.1316,Andrea Alu,"Andrea Alu, Alessandro Salandrino, Nader Engheta","Coupling of Optical Lumped Nanocircuit Elements and Effects of
  Substrates","21 pages, 4 figures, under review",,10.1364/OE.15.013865,,cond-mat.mtrl-sci,,"[{'version': 'v1', 'created': 'Sat, 9 Jun 2007 15:45:32 GMT'}]",2009-11-13,"[['Alu', 'Andrea', ''], ['Salandrino', 'Alessandro', ''], ['Engheta', 'Nader', '']]",,,,,,,,,Condensed Matter Physics,"Andrea Alú, Alessandro Salandrino, Nader Engheta",Coupling of optical lumped nanocircuit elements and effects of substrates,Unknown,Unknown,"Andrea Alú (unknown), Alessandro Salandrino (unknown), Nader Engheta (unknown)",2007,Optics Express,15,21,13865
28559,801.4654,Mili Biswas,"M. Biswas, Subinit Roy, M. Sinha, M.K. Pradhan, A. Mukherjee, P. Basu,
  H. Majumdar, K. Ramachandran, A. Shrivastava","The study of threshold behaviour of effective potential for
  $^{6}$Li+$^{58,64}$Ni systems","23 pages, 7 figures, Accepted for publication in Nuclear Physics A","Nucl.Phys.A802:67-81,2008",10.1016/j.nuclphysa.2008.01.025,,nucl-ex,,"[{'version': 'v1', 'created': 'Wed, 30 Jan 2008 12:07:18 GMT'}]",2008-11-26,"[['Biswas', 'M.', ''], ['Roy', 'Subinit', ''], ['Sinha', 'M.', ''], ['Pradhan', 'M. K.', ''], ['Mukherjee', 'A.', ''], ['Basu', 'P.', ''], ['Majumdar', 'H.', ''], ['Ramachandran', 'K.', ''], ['Shrivastava', 'A.', '']]",,,,,,,,,Nuclear Physics,"M. Biswas, Subinit Roy, M. Sinha, M.K. Pradhan, A. Mukherjee, P. Basu, H. Majumdar, K. Ramachandran, A. Shrivastava","The study of threshold behaviour of effective potential for <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:mmultiscripts><mml:mi mathvariant=""normal"">Li</mml:mi><mml:mprescripts /><mml:none /><mml:mn>6</mml:mn></mml:mmultiscripts><mml:mo>+</mml:mo><mml:mmultiscripts><mml:mi mathvariant=""normal"">Ni</mml:mi><mml:mprescripts /><mml:none /><mml:mrow><mml:mn>58</mml:mn><mml:mo>,</mml:mo><mml:mn>64</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> systems",Unknown,Unknown,"M. Biswas (unknown), Subinit Roy (unknown), M. Sinha (unknown), M.K. Pradhan (unknown), A. Mukherjee (unknown), P. Basu (unknown), H. Majumdar (unknown), K. Ramachandran (unknown), A. Shrivastava (unknown)",2008,Nuclear Physics A,802,1-4,67-81
22332,711.3805,Jan-Uwe Ness,J.-U. Ness and C. Jordan,The corona and upper transition region of epsilon Eridani,"accepted by MNRAS; 19 pages, five figures, 10 tables",,10.1111/j.1365-2966.2007.12757.x,,astro-ph,,"[{'version': 'v1', 'created': 'Sat, 24 Nov 2007 01:38:20 GMT'}]",2009-11-13,"[['Ness', 'J. -U.', ''], ['Jordan', 'C.', '']]",,,,,,,,,Astronomy and Astrophysics,"J.-U. Ness, C. Jordan",The corona and upper transition region of ε Eridani,Unknown,Unknown,"J.-U. Ness (unknown), C. Jordan (unknown)",2008,Monthly Notices of the Royal Astronomical Society,385,4,1691-1708
15994,709.3389,M. C. Nucci,M. C. Nucci and P. G. L. Leach,"Gauge Variant Symmetries for the Schr\""odinger Equation",12 pages,,10.1393/ncb/i2008-10483-0,,nlin.SI,,"[{'version': 'v1', 'created': 'Fri, 21 Sep 2007 10:02:18 GMT'}]",2015-05-13,"[['Nucci', 'M. C.', ''], ['Leach', 'P. G. L.', '']]",,,,,,,,,Nonlinear Sciences,,,Unknown,Unknown,unknown,,,,,
14702,709.1174,Stefano Piscanec,"A. Das, S. Pisana, S. Piscanec, B. Chakraborty, S. K. Saha, U. V.
  Waghmare, R. Yiang, H. R. Krishnamurhthy, A. K. Geim, A. C. Ferrari, and A.
  K. Sood","Electrochemically Top Gated Graphene: Monitoring Dopants by Raman
  Scattering","7 pages, 8 figures","Nature Nanotechnology 3, 210 - 215 (01 Apr 2008)",10.1038/nnano.2008.67,,cond-mat.mtrl-sci,,"[{'version': 'v1', 'created': 'Sat, 8 Sep 2007 21:02:15 GMT'}]",2008-08-18,"[['Das', 'A.', ''], ['Pisana', 'S.', ''], ['Piscanec', 'S.', ''], ['Chakraborty', 'B.', ''], ['Saha', 'S. K.', ''], ['Waghmare', 'U. V.', ''], ['Yiang', 'R.', ''], ['Krishnamurhthy', 'H. R.', ''], ['Geim', 'A. K.', ''], ['Ferrari', 'A. C.', ''], ['Sood', 'A. K.', '']]",,,,,,,,,Condensed Matter Physics,"A. Das, S. Pisana, B. Chakraborty, S. Piscanec, S. K. Saha, U. V. Waghmare, K. S. Novoselov, H. R. Krishnamurthy, A. K. Geim, A. C. Ferrari, A. K. Sood",Monitoring dopants by Raman scattering in an electrochemically top-gated graphene transistor,Unknown,Unknown,"A. Das (unknown), S. Pisana (unknown), B. Chakraborty (unknown), S. Piscanec (unknown), S. K. Saha (unknown), U. V. Waghmare (unknown), K. S. Novoselov (unknown), H. R. Krishnamurthy (unknown), A. K. Geim (unknown), A. C. Ferrari (unknown), A. K. Sood (unknown)",2008,Nature Nanotechnology,3,4,210-215
91986,910.2291,Holger F. Hofmann,"Terukazu Kosako, Holger F. Hofmann, and Yutaka Kadoya",Directional emission of light from a nano-optical Yagi-Uda antenna,"4 pages, including 4 figures","Nature Photonics 4, 312 - 315 (2010)",10.1038/nphoton.2010.34,,cond-mat.mes-hall cond-mat.mtrl-sci quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 13 Oct 2009 03:51:48 GMT'}]",2010-05-06,"[['Kosako', 'Terukazu', ''], ['Hofmann', 'Holger F.', ''], ['Kadoya', 'Yutaka', '']]",,,,,,,,,Quantum Physics,"Terukazu Kosako, Yutaka Kadoya, Holger F. Hofmann",Directional control of light by a nano-optical Yagi–Uda antenna,Unknown,Unknown,"Terukazu Kosako (unknown), Yutaka Kadoya (unknown), Holger F. Hofmann (unknown)",2010,Nature Photonics,4,5,312-315
131846,1010.061,Ewan O'Sullivan,"Ewan O'Sullivan, Simona Giacintucci, Laurence P. David, Jan M. Vrtilek
  and Somak Raychaudhury","A deep Chandra observation of the poor cluster AWM4 - II. The role of
  the radio jets in enriching the intra-cluster medium","Accepted for publication in MNRAS, 11 pages, 6 figures",,10.1111/j.1365-2966.2010.17812.x,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 4 Oct 2010 14:52:55 GMT'}]",2015-05-20,"[[""O'Sullivan"", 'Ewan', ''], ['Giacintucci', 'Simona', ''], ['David', 'Laurence P.', ''], ['Vrtilek', 'Jan M.', ''], ['Raychaudhury', 'Somak', '']]",,,,,,,,,Astronomy and Astrophysics,"Ewan O’Sullivan, Simona Giacintucci, Laurence P. David, Jan M. Vrtilek, Somak Raychaudhury",A deep Chandra observation of the poor cluster AWM 4 - II. The role of the radio jets in enriching the intracluster medium,Unknown,Unknown,"Ewan O’Sullivan (unknown), Simona Giacintucci (unknown), Laurence P. David (unknown), Jan M. Vrtilek (unknown), Somak Raychaudhury (unknown)",2011,Monthly Notices of the Royal Astronomical Society,411,3,1833-1842
51153,809.2702,Rowan J Smith,"Rowan J. Smith, Paul C. Clark and Ian A. Bonnell","The structure of molecular clouds and the universality of the clump mass
  function","11 pages, 10 figures, accepted for publication in MNRAS",,10.1111/j.1365-2966.2008.13970.x,,astro-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 16 Sep 2008 13:34:28 GMT'}]",2009-11-13,"[['Smith', 'Rowan J.', ''], ['Clark', 'Paul C.', ''], ['Bonnell', 'Ian A.', '']]",,,,,,,,,Astronomy and Astrophysics,"Rowan J. Smith, Paul C. Clark, Ian A. Bonnell",The structure of molecular clouds and the universality of the clump mass function,Unknown,Unknown,"Rowan J. Smith (unknown), Paul C. Clark (unknown), Ian A. Bonnell (unknown)",2008,Monthly Notices of the Royal Astronomical Society,391,3,1091-1099
22589,711.4242,Oliver Piattella,"V. Gorini, A. Y. Kamenshchik, U. Moschella, O. F. Piattella and A. A.
  Starobinsky","Gauge-invariant analysis of perturbations in Chaplygin gas unified
  models of dark matter and dark energy","References added, discussion expanded, matches the published version","JCAP 0802:016,2008",10.1088/1475-7516/2008/02/016,,astro-ph gr-qc hep-th,,"[{'version': 'v1', 'created': 'Tue, 27 Nov 2007 12:53:18 GMT'}, {'version': 'v2', 'created': 'Tue, 5 Feb 2008 14:04:26 GMT'}]",2009-06-23,"[['Gorini', 'V.', ''], ['Kamenshchik', 'A. Y.', ''], ['Moschella', 'U.', ''], ['Piattella', 'O. F.', ''], ['Starobinsky', 'A. A.', '']]",,,,,,,,,Astronomy and Astrophysics,"V Gorini, A Y Kamenshchik, U Moschella, O F Piattella, A A Starobinsky",Gauge-invariant analysis of perturbations in Chaplygin gas unified models of dark matter and dark energy,Unknown,Unknown,"V Gorini (unknown), A Y Kamenshchik (unknown), U Moschella (unknown), O F Piattella (unknown), A A Starobinsky (unknown)",2008,Journal of Cosmology and Astroparticle Physics,2008,02,016
