id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,versions,update_date,authors_parsed,publisher,published-print,published-online,reference-count,type,bibtex,subject,publication_type,refined_authors,refined_publication_title,resolved_venue,authors_with_gender,field_of_study,publication_year,journal_name,volume,issue,pages
704.0001,Pavel Nadolsky,"C. Bal\'azs, E. L. Berger, P. M. Nadolsky, C.-P. Yuan","Calculation of prompt diphoton production cross sections at Tevatron and
  LHC energies","37 pages, 15 figures; published version","Phys.Rev.D76:013009,2007",10.1103/PhysRevD.76.013009,ANL-HEP-PR-07-12,hep-ph,,"[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 19:18:42 GMT'}, {'version': 'v2', 'created': 'Tue, 24 Jul 2007 20:10:27 GMT'}]",2008-11-26,"[['Balázs', 'C.', ''], ['Berger', 'E. L.', ''], ['Nadolsky', 'P. M.', ''], ['Yuan', 'C. -P.', '']]",,,,,,,,,"C. Balázs, E. L. Berger, P. Nadolsky, C.-P. Yuan",Calculation of prompt diphoton production cross sections at Fermilab Tevatron and CERN LHC energies,Unknown,"C. Balázs (female), E. L. Berger (None), P. Nadolsky (male), C.-P. Yuan (None)",High Energy Physics,2007.0,Physical Review D,76,1,
704.0006,Yue Hin Pong,Y. H. Pong and C. K. Law,Bosonic characters of atomic Cooper pairs across resonance,"6 pages, 4 figures, accepted by PRA",,10.1103/PhysRevA.75.043613,,cond-mat.mes-hall,,"[{'version': 'v1', 'created': 'Sat, 31 Mar 2007 04:24:59 GMT'}]",2015-05-13,"[['Pong', 'Y. H.', ''], ['Law', 'C. K.', '']]",,,,,,,,,"Y. H. Pong, C. K. Law",Bosonic characters of atomic Cooper pairs across resonance,Unknown,"Y. H. Pong (None), C. K. Law (female)",Condensed Matter Physics,2007.0,Physical Review A,75,4,
704.0007,Alejandro Corichi,"Alejandro Corichi, Tatjana Vukasinac and Jose A. Zapata",Polymer Quantum Mechanics and its Continuum Limit,"16 pages, no figures. Typos corrected to match published version","Phys.Rev.D76:044016,2007",10.1103/PhysRevD.76.044016,IGPG-07/03-2,gr-qc,,"[{'version': 'v1', 'created': 'Sat, 31 Mar 2007 04:27:22 GMT'}, {'version': 'v2', 'created': 'Wed, 22 Aug 2007 22:42:11 GMT'}]",2008-11-26,"[['Corichi', 'Alejandro', ''], ['Vukasinac', 'Tatjana', ''], ['Zapata', 'Jose A.', '']]",,,,,,,,,"Alejandro Corichi, Tatjana Vukašinac, José A. Zapata",Polymer quantum mechanics and its continuum limit,Unknown,"Alejandro Corichi (male), Tatjana Vukašinac (female), José A. Zapata (male)",General Relativity and Quantum Cosmology,2007.0,Physical Review D,76,4,
704.0008,Damian Swift,Damian C. Swift,"Numerical solution of shock and ramp compression for general material
  properties",Minor corrections,"Journal of Applied Physics, vol 104, 073536 (2008)",10.1063/1.2975338,"LA-UR-07-2051, LLNL-JRNL-410358",cond-mat.mtrl-sci,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sat, 31 Mar 2007 04:47:20 GMT'}, {'version': 'v2', 'created': 'Thu, 10 Apr 2008 08:42:28 GMT'}, {'version': 'v3', 'created': 'Tue, 1 Jul 2008 18:54:28 GMT'}]",2009-02-05,"[['Swift', 'Damian C.', '']]",,,,,,,,,Damian C. Swift,Numerical solution of shock and ramp compression for general material properties,Unknown,Damian C. Swift (male),Condensed Matter Physics,2008.0,Journal of Applied Physics,104,7,
704.0009,Paul Harvey,"Paul Harvey, Bruno Merin, Tracy L. Huard, Luisa M. Rebull, Nicholas
  Chapman, Neal J. Evans II, Philip C. Myers","The Spitzer c2d Survey of Large, Nearby, Insterstellar Clouds. IX. The
  Serpens YSO Population As Observed With IRAC and MIPS",,"Astrophys.J.663:1149-1173,2007",10.1086/518646,,astro-ph,,"[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 19:41:34 GMT'}]",2010-03-18,"[['Harvey', 'Paul', ''], ['Merin', 'Bruno', ''], ['Huard', 'Tracy L.', ''], ['Rebull', 'Luisa M.', ''], ['Chapman', 'Nicholas', ''], ['Evans', 'Neal J.', 'II'], ['Myers', 'Philip C.', '']]",,,,,,,,,"Paul Harvey, Bruno Merin, Tracy L. Huard, Luisa M. Rebull, Nicholas Chapman, Neal J. Evans II, Philip C. Myers","The<i>Spitzer</i>c2d Survey of Large, Nearby, Interstellar Clouds. IX. The Serpens YSO Population as Observed with IRAC and MIPS",Unknown,"Paul Harvey (male), Bruno Merin (male), Tracy L. Huard (female), Luisa M. Rebull (female), Nicholas Chapman (male), Neal J. Evans II (male), Philip C. Myers (male)",Astronomy and Astrophysics,2007.0,The Astrophysical Journal,663,2,1149-1173
704.0015,Christian Stahn,Christian Stahn,Fermionic superstring loop amplitudes in the pure spinor formalism,"22 pages; signs and coefficients adjusted for anticommuting
  superfields, section 4.3 changed accordingly, reference added","JHEP 0705:034,2007",10.1088/1126-6708/2007/05/034,,hep-th,,"[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 18:10:09 GMT'}, {'version': 'v2', 'created': 'Mon, 10 Mar 2008 04:18:38 GMT'}]",2009-11-13,"[['Stahn', 'Christian', '']]",,,,,,,,,Christian Stahn,Fermionic superstring loop amplitudes in the pure spinor formalism,Unknown,Christian Stahn (male),High Energy Physics,2007.0,Journal of High Energy Physics,2007,05,034-034
704.0016,Li Tong,"Chao-Hsi Chang, Tong Li, Xue-Qian Li and Yu-Ming Wang",Lifetime of doubly charmed baryons,"17 pages, 3 figures and 1 table","Commun.Theor.Phys.49:993-1000,2008",10.1088/0253-6102/49/4/38,,hep-ph,,"[{'version': 'v1', 'created': 'Sat, 31 Mar 2007 07:04:26 GMT'}]",2008-12-18,"[['Chang', 'Chao-Hsi', ''], ['Li', 'Tong', ''], ['Li', 'Xue-Qian', ''], ['Wang', 'Yu-Ming', '']]",,,,,,,,,"Chang Chao Hsi, Li Tong, Li Xue-Qian, Wang Yu-Ming",Lifetime of Doubly Charmed Baryons,Unknown,"Chang Chao Hsi (male), Li Tong (female), Li Xue-Qian (female), Wang Yu-Ming (male)",High Energy Physics,2008.0,Communications in Theoretical Physics,49,4,993-1000
704.0017,Nceba Mhlahlo,"Nceba Mhlahlo, David H. Buckley, Vikram S. Dhillon, Steven B. Potter,
  Brian Warner and Patric A. Woudt","Spectroscopic Observations of the Intermediate Polar EX Hydrae in
  Quiescence","10 pages, 11 figures (figures 3, 4, 7 and 8 at reduced resolution,
  originals available on request). Accepted for publication in Monthly Notices
  of the Royal Astronomical Society","Mon.Not.Roy.Astron.Soc.378:211-220,2007",10.1111/j.1365-2966.2007.11762.x,,astro-ph,,"[{'version': 'v1', 'created': 'Sat, 31 Mar 2007 07:38:48 GMT'}]",2009-06-23,"[['Mhlahlo', 'Nceba', ''], ['Buckley', 'David H.', ''], ['Dhillon', 'Vikram S.', ''], ['Potter', 'Steven B.', ''], ['Warner', 'Brian', ''], ['Woudt', 'Patric A.', '']]",,,,,,,,,"N. Mhlahlo, D. A. H. Buckley, V. S. Dhillon, S. B. Potter, B. Warner, P. A. Woudt",Spectroscopic observations of the intermediate polar EX Hydrae in quiescence,Unknown,"N. Mhlahlo (female), D. A. H. Buckley (male), V. S. Dhillon (female), S. B. Potter (female), B. Warner (None), P. A. Woudt (male)",Astronomy and Astrophysics,2007.0,Monthly Notices of the Royal Astronomical Society,378,1,211-220
